dataset,label,curve,x,y,threshold
NIH internal test,Atelectasis,roc,0.3630769230769231,0.5955056179775281,0.5187647938728333
NIH internal test,Atelectasis,roc,0.3676923076923077,0.5955056179775281,0.5176711678504944
NIH internal test,Atelectasis,roc,0.3676923076923077,0.6067415730337079,0.5133184194564819
NIH internal test,Atelectasis,roc,0.39692307692307693,0.6067415730337079,0.5003514885902405
NIH internal test,Atelectasis,roc,0.39692307692307693,0.6292134831460674,0.4988379180431366
NIH internal test,Atelectasis,roc,0.4046153846153846,0.6292134831460674,0.4939641058444977
NIH internal test,Atelectasis,roc,0.4046153846153846,0.6404494382022472,0.4938105046749115
NIH internal test,Atelectasis,roc,0.4169230769230769,0.6404494382022472,0.4895863533020019
NIH internal test,Atelectasis,roc,0.4169230769230769,0.6629213483146067,0.4881095588207245
NIH internal test,Atelectasis,roc,0.43846153846153846,0.6629213483146067,0.4765286445617676
NIH internal test,Atelectasis,roc,0.43846153846153846,0.6741573033707865,0.4756760597229004
NIH internal test,Atelectasis,roc,0.4461538461538462,0.6741573033707865,0.4737248718738556
NIH internal test,Atelectasis,roc,0.4461538461538462,0.6853932584269663,0.4721271693706512
NIH internal test,Atelectasis,roc,0.4492307692307692,0.6853932584269663,0.471413642168045
NIH internal test,Atelectasis,roc,0.4492307692307692,0.6966292134831461,0.4710356593132019
NIH internal test,Atelectasis,roc,0.4815384615384615,0.6966292134831461,0.4580503702163696
NIH internal test,Atelectasis,roc,0.4815384615384615,0.7078651685393258,0.4575896859169006
NIH internal test,Atelectasis,roc,0.4969230769230769,0.7078651685393258,0.4502356052398681
NIH internal test,Atelectasis,roc,0.4969230769230769,0.7191011235955056,0.4494009613990783
NIH internal test,Atelectasis,roc,0.5046153846153846,0.7191011235955056,0.4469670951366424
NIH internal test,Atelectasis,roc,0.5046153846153846,0.7528089887640449,0.441105306148529
NIH internal test,Atelectasis,roc,0.52,0.7528089887640449,0.4287442564964294
NIH internal test,Atelectasis,roc,0.52,0.7752808988764045,0.4277925789356231
NIH internal test,Atelectasis,roc,0.5261538461538462,0.7752808988764045,0.4263443350791931
NIH internal test,Atelectasis,roc,0.5261538461538462,0.797752808988764,0.4235541522502899
NIH internal test,Atelectasis,roc,0.5323076923076923,0.797752808988764,0.4133910834789276
NIH internal test,Atelectasis,roc,0.5323076923076923,0.8089887640449438,0.413263201713562
NIH internal test,Atelectasis,roc,0.536923076923077,0.8089887640449438,0.41288822889328
NIH internal test,Atelectasis,roc,0.536923076923077,0.8202247191011236,0.4104322791099548
NIH internal test,Atelectasis,roc,0.556923076923077,0.8202247191011236,0.4003489017486572
NIH internal test,Atelectasis,roc,0.556923076923077,0.8314606741573034,0.3998584449291229
NIH internal test,Atelectasis,roc,0.5615384615384615,0.8314606741573034,0.3966806828975677
NIH internal test,Atelectasis,roc,0.5615384615384615,0.8426966292134831,0.3964721262454986
NIH internal test,Atelectasis,roc,0.58,0.8426966292134831,0.3824606835842132
NIH internal test,Atelectasis,roc,0.58,0.8539325842696629,0.3744793832302093
NIH internal test,Atelectasis,roc,0.5953846153846154,0.8539325842696629,0.3586480617523193
NIH internal test,Atelectasis,roc,0.5953846153846154,0.8651685393258427,0.3579548597335815
NIH internal test,Atelectasis,roc,0.6461538461538462,0.8651685393258427,0.3246627748012543
NIH internal test,Atelectasis,roc,0.6461538461538462,0.8764044943820225,0.3245187699794769
NIH internal test,Atelectasis,roc,0.6569230769230769,0.8764044943820225,0.3198291957378387
NIH internal test,Atelectasis,roc,0.6569230769230769,0.8876404494382022,0.3190305531024933
NIH internal test,Atelectasis,roc,0.6692307692307692,0.8876404494382022,0.3077400922775268
NIH internal test,Atelectasis,roc,0.6692307692307692,0.898876404494382,0.3076947927474975
NIH internal test,Atelectasis,roc,0.6953846153846154,0.898876404494382,0.2715665996074676
NIH internal test,Atelectasis,roc,0.6953846153846154,0.9101123595505618,0.2703539133071899
NIH internal test,Atelectasis,roc,0.7123076923076923,0.9101123595505618,0.2570107579231262
NIH internal test,Atelectasis,roc,0.7123076923076923,0.9213483146067416,0.2554831504821777
NIH internal test,Atelectasis,roc,0.7830769230769231,0.9213483146067416,0.2126762419939041
NIH internal test,Atelectasis,roc,0.7830769230769231,0.9325842696629213,0.2124819457530975
NIH internal test,Atelectasis,roc,0.8,0.9325842696629213,0.2023155689239502
NIH internal test,Atelectasis,roc,0.8,0.9438202247191011,0.1983624547719955
NIH internal test,Atelectasis,roc,0.8261538461538461,0.9438202247191011,0.1788575053215026
NIH internal test,Atelectasis,roc,0.8261538461538461,0.9550561797752809,0.1783413141965866
NIH internal test,Atelectasis,roc,0.8461538461538461,0.9550561797752809,0.1706646829843521
NIH internal test,Atelectasis,roc,0.8461538461538461,0.9775280898876404,0.1688691526651382
NIH internal test,Atelectasis,roc,0.9323076923076923,0.9775280898876404,0.0862002074718475
NIH internal test,Atelectasis,roc,0.9323076923076923,0.9887640449438202,0.0852276906371116
NIH internal test,Atelectasis,roc,0.9907692307692307,0.9887640449438202,0.0403246395289897
NIH internal test,Atelectasis,roc,0.9907692307692307,1.0,0.0371989160776138
NIH internal test,Atelectasis,roc,1.0,1.0,0.0194785390049219
NIH internal test,Atelectasis,pr,1.0,0.12043301759133965,
NIH internal test,Atelectasis,pr,1.0,0.12059620596205962,
NIH internal test,Atelectasis,pr,1.0,0.12075983717774763,
NIH internal test,Atelectasis,pr,1.0,0.12092391304347826,
NIH internal test,Atelectasis,pr,1.0,0.12108843537414966,
NIH internal test,Atelectasis,pr,1.0,0.12125340599455041,
NIH internal test,Atelectasis,pr,1.0,0.12141882673942701,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12021857923497267,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12038303693570451,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12054794520547946,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12071330589849108,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12087912087912088,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12104539202200826,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12121212121212122,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12137931034482759,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12154696132596685,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12171507607192254,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12188365650969529,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12205270457697642,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12222222222222222,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12239221140472879,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12256267409470752,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12273361227336123,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12290502793296089,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12307692307692308,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12324929971988796,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12342215988779803,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12359550561797752,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12376933895921238,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12394366197183099,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12411847672778561,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12429378531073447,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12446958981612447,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12464589235127478,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12482269503546099,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.125,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.1251778093883357,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12535612535612536,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12553495007132667,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12571428571428572,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12589413447782546,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12607449856733524,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12625538020086083,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12643678160919541,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12661870503597122,
NIH internal test,Atelectasis,pr,0.9887640449438202,0.12680115273775217,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12554112554112554,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12572254335260116,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12590448625180897,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12608695652173912,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1262699564586357,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12645348837209303,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12663755458515283,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12682215743440234,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12700729927007298,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12719298245614036,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1273792093704246,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12756598240469208,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1277533039647577,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12794117647058822,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12812960235640647,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12831858407079647,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12850812407680945,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.128698224852071,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1288888888888889,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.129080118694362,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12927191679049035,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12946428571428573,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12965722801788376,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.12985074626865672,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13004484304932734,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13023952095808383,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13043478260869565,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13063063063063063,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13082706766917293,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13102409638554216,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13122171945701358,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13141993957703926,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13161875945537066,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1318181818181818,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13201820940819423,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13221884498480244,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1324200913242009,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1326219512195122,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13282442748091602,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13302752293577982,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1332312404287902,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1334355828220859,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1336405529953917,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13384615384615384,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13405238828967642,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13425925925925927,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13446676970633695,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1346749226006192,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13488372093023257,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13509316770186336,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13530326594090203,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13551401869158877,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1357254290171607,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.1359375,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13615023474178403,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13636363636363635,
NIH internal test,Atelectasis,pr,0.9775280898876404,0.13657770800627944,
NIH internal test,Atelectasis,pr,0.9662921348314607,0.13522012578616352,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.13385826771653545,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.13406940063091483,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.13428120063191154,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.13449367088607594,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.1347068145800317,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.1349206349206349,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.13513513513513514,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.13535031847133758,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.13556618819776714,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.13578274760383385,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.136,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.1362179487179487,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.13643659711075443,
NIH internal test,Atelectasis,pr,0.9550561797752809,0.13665594855305466,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13526570048309178,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13548387096774195,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13570274636510501,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13592233009708737,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13614262560777957,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13636363636363635,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13658536585365855,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13680781758957655,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.1370309951060359,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13725490196078433,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13747954173486088,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.1377049180327869,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13793103448275862,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13815789473684212,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13838550247116968,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13861386138613863,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.13884297520661157,
NIH internal test,Atelectasis,pr,0.9438202247191011,0.1390728476821192,
NIH internal test,Atelectasis,pr,0.9325842696629213,0.13764510779436154,
NIH internal test,Atelectasis,pr,0.9325842696629213,0.1378737541528239,
NIH internal test,Atelectasis,pr,0.9325842696629213,0.13810316139767054,
NIH internal test,Atelectasis,pr,0.9325842696629213,0.13833333333333334,
NIH internal test,Atelectasis,pr,0.9325842696629213,0.13856427378964942,
NIH internal test,Atelectasis,pr,0.9325842696629213,0.13879598662207357,
NIH internal test,Atelectasis,pr,0.9325842696629213,0.1390284757118928,
NIH internal test,Atelectasis,pr,0.9325842696629213,0.13926174496644295,
NIH internal test,Atelectasis,pr,0.9325842696629213,0.13949579831932774,
NIH internal test,Atelectasis,pr,0.9325842696629213,0.13973063973063973,
