model,dataset_group,dataset,average,label,n,positives,auroc,auprc,sensitivity,specificity,f1,accuracy,ppv,npv,tp,fp,tn,fn,auroc_ci_lower,auroc_ci_upper,auprc_ci_lower,auprc_ci_upper,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper,f1_ci_lower,f1_ci_upper,accuracy_ci_lower,accuracy_ci_upper,ppv_ci_lower,ppv_ci_upper,npv_ci_lower,npv_ci_upper,prevalence
ResNet50,VinDr-derived external,VinDr_external,label,Consolidation,1000,175,0.7641419913419913,0.374706856659276,0.3314285714285695,0.909090909090908,0.3766233766233753,0.8079999999999992,0.4360902255639065,0.8650519031141858,58.0,75.0,750.0,117.0,0.7304045193410329,0.7987104033441991,0.3174817583962775,0.4496651967928456,0.2636717688615147,0.4053053830227721,0.887469584771742,0.9275985621423308,0.3101125095347052,0.4395365853658523,0.7844749999999993,0.8329999999999992,0.3538425047438303,0.5208170435987493,0.8436824725838681,0.8870445736816415,0.175
ResNet50,VinDr-derived external,VinDr_external,label,Edema,1000,0,,,0.0,0.993999999999999,0.0,0.993999999999999,0.0,0.999999999999999,0.0,6.0,994.0,0.0,,,,,0.0,0.0,0.988999999999999,0.997999999999999,0.0,0.0,0.988999999999999,0.997999999999999,0.0,0.0,0.999999999999999,0.999999999999999,0.0
ResNet50,VinDr-derived external,VinDr_external,label,Pneumonia,1000,0,,,0.0,0.8949999999999991,0.0,0.8949999999999991,0.0,0.9999999999999988,0.0,105.0,895.0,0.0,,,,,0.0,0.0,0.8754749999999991,0.914999999999999,0.0,0.0,0.8754749999999991,0.914999999999999,0.0,0.0,0.9999999999999988,0.9999999999999988,0.0
ResNet50,VinDr-derived external,VinDr_external,label,No Finding,1000,414,0.8189642380175101,0.7465312029815581,0.8405797101449255,0.6262798634812276,0.7094801223241582,0.7149999999999993,0.6137566137566126,0.8475750577367186,348.0,219.0,367.0,66.0,0.7920646492103687,0.8433321244792362,0.7037565222093141,0.7903145444749616,0.8046604332195382,0.8782557977680386,0.5879915753135575,0.6672411726403635,0.6763004085566598,0.7426400363719546,0.6859999999999993,0.7439999999999992,0.5733153064568983,0.6561860068259374,0.8113973816880774,0.8812766781051201,0.414
EfficientNet-B0,NIH internal test,NIH_internal_test,label,Atelectasis,739,89,0.6602420051858254,0.2245329688221944,0.3483146067415691,0.809230769230768,0.2540983606557366,0.753721244925574,0.1999999999999987,0.9006849315068477,31.0,124.0,526.0,58.0,0.5996792461911368,0.72243558697927,0.1654302113622779,0.3140053193134853,0.251199494949492,0.4601671203871691,0.7747119997363614,0.8443171936493125,0.182537878787878,0.3314167160640176,0.7160150428289691,0.7892507665322347,0.1405325644504739,0.2716448070764052,0.8727856898765143,0.9244703670942044,0.12043301759133965
EfficientNet-B0,NIH internal test,NIH_internal_test,label,Cardiomegaly,739,26,0.6549250188801381,0.0874080683572656,0.0769230769230739,0.9873772791023828,0.1081081081081051,0.9553450608930976,0.1818181818181652,0.9670329670329656,2.0,9.0,704.0,24.0,0.5387010333280494,0.7705246770410972,0.0406293648962722,0.2081342810734873,0.0,0.2030882352941111,0.9775840558672354,0.9944330372189772,0.0,0.2569078947368352,0.937455357142856,0.9700003646317829,0.0,0.444444444444395,0.951911521290607,0.9805081786578916,0.035182679296346414
EfficientNet-B0,NIH internal test,NIH_internal_test,label,Pleural Effusion,739,109,0.736638998106888,0.355945168025759,0.6880733944954066,0.6587301587301576,0.3759398496240592,0.6630581867388353,0.2586206896551715,0.9242761692650312,75.0,215.0,415.0,34.0,0.681440479415672,0.7800480047390207,0.2684227555769657,0.4600239186881427,0.5943396226415039,0.765547435190285,0.6141092262392479,0.7043899507254767,0.3137254901960776,0.4411685770497401,0.6220926346375867,0.700916000405006,0.206314447277968,0.3146843059676876,0.8968871815568747,0.946800424628448,0.14749661705006767
EfficientNet-B0,NIH internal test,NIH_internal_test,label,Pneumothorax,739,42,0.6918084306893489,0.189653929541064,0.3333333333333254,0.8651362984218065,0.1866666666666654,0.834912043301758,0.1296296296296284,0.9556259904912822,14.0,94.0,603.0,28.0,0.6006092359482925,0.782070737816514,0.1043044660692043,0.3556700781338873,0.1999999999999938,0.4999999999999842,0.8309586820942052,0.8970891313945584,0.1077360663288799,0.2839450245700228,0.8010618257857222,0.8673030096336134,0.0707706766917286,0.2094258241758219,0.938300019020492,0.9717868338557978,0.056833558863328824
EfficientNet-B0,NIH internal test,NIH_internal_test,label,Consolidation,739,41,0.5924243483122511,0.0720171805297582,0.2195121951219458,0.8624641833810875,0.1232876712328758,0.8267929634641396,0.0857142857142849,0.9495268138801246,9.0,96.0,602.0,32.0,0.5119927072523925,0.6743926767676766,0.0504847314332417,0.1108326712071584,0.105263157894734,0.3539373814041636,0.823063506398874,0.8972040887999646,0.0573381294964024,0.19653022226692,0.7880771170279082,0.8592158550214346,0.0389762881896941,0.1459251220835578,0.9311096172097422,0.9661108539003036,0.05548037889039242
EfficientNet-B0,NIH internal test,NIH_internal_test,label,Edema,739,15,0.7398710865561694,0.0849404504919995,0.1999999999999866,0.9544198895027612,0.1176470588235271,0.9391069012178608,0.083333333333331,0.982930298719771,3.0,33.0,691.0,12.0,0.6040900934859617,0.8634189481107784,0.0300878647554119,0.2191485380441808,0.0,0.4411458333332942,0.9368040303407664,0.9719171164346796,0.0,0.258751393533996,0.9187200742982926,0.9581699834449436,0.0,0.1937851782363917,0.9733874400494302,0.9918280180646728,0.02029769959404601
