average,label,metric,internal,external,absolute_drop,relative_drop
micro,micro,auroc,0.8087828436491951,0.7781553543032035,0.030627489345991576,0.03786861898281818
micro,micro,auprc,0.349397262073637,0.47657540654115416,-0.12717814446751713,-0.3639929623739117
micro,micro,sensitivity,0.5938375350140047,0.5919583023082646,0.001879232705740086,0.0031645569620245835
micro,micro,specificity,0.7762601000384762,0.8379149767162384,-0.06165487667776215,-0.07942553877844057
micro,micro,f1,0.3685354193828768,0.49424930059061223,-0.1257138812077354,-0.34111750077712183
micro,micro,accuracy,0.7542286874154261,0.7966249999999999,-0.04239631258457377,-0.0562114823951559
micro,micro,ppv,0.2671707624448644,0.42422625400213426,-0.1570554915572699,-0.5878468516542157
micro,micro,npv,0.9329479768786124,0.9105452171074109,0.02240275977120154,0.024012871378053705


