average,label,metric,internal,external,absolute_drop,relative_drop
label,No Finding,specificity,0.4642857142857129,0.20136518771331022,0.2629205265724027,0.5662903649251768
label,No Finding,f1,0.6713286713286706,0.6336173508907819,0.03771132043788872,0.056174154402271796
label,No Finding,accuracy,0.6184032476319342,0.5269999999999995,0.09140324763193475,0.14780525164113756
label,No Finding,ppv,0.5962732919254645,0.46636259977194927,0.12991069215351525,0.21787105663245834
label,No Finding,npv,0.6601562499999973,0.9593495934959272,-0.29919334349592985,-0.45321595227786005
macro,macro,auroc,0.6802725155959937,0.7425450139696842,-0.06227249837369053,-0.09154051787485926
macro,macro,auprc,0.2135116532463062,0.434329948062806,-0.2208182948164998,-1.0342212776637756
macro,macro,sensitivity,0.4516357706862384,0.32127956182287576,0.13035620886336263,0.28863127618366624
macro,macro,specificity,0.7715992179014645,0.8161018926357517,-0.04450267473428726,-0.05767589404162717
macro,macro,f1,0.2502401448880938,0.26830131679197555,-0.018061171903881734,-0.07217535744298183
macro,macro,accuracy,0.7723274695534497,0.7954999999999992,-0.023172530446549544,-0.03000350416119165
macro,macro,ppv,0.1945280712786067,0.2981274513143317,-0.10359938003572502,-0.532567764409426
macro,macro,npv,0.9164010866518966,0.9057125470022276,0.010688539649668982,0.011663604294403378
micro,micro,auroc,0.7719813589152476,0.8390595626502807,-0.06707820373503315,-0.08689096305290109
micro,micro,auprc,0.3460360215542478,0.5288568518145502,-0.18282083026030244,-0.5283288989370194
micro,micro,sensitivity,0.6162464985994389,0.5495160089352192,0.06673048966421968,0.10828538550057482
micro,micro,specificity,0.7937668333974605,0.8451254318762204,-0.0513585984787599,-0.06470237394391516
micro,micro,f1,0.3953279424977536,0.47429305912596387,-0.07896511662821026,-0.19974585183454108
micro,micro,accuracy,0.7723274695534504,0.7954999999999999,-0.023172530446549433,-0.030003504161191477
micro,micro,ppv,0.2910052910052908,0.4171848501978517,-0.12617955919256085,-0.4335988488617094
micro,micro,npv,0.9377272727272724,0.9029048306852832,0.034822442041989254,0.037134935769450504


