dataset,method,average,label,brier,ece,mce,slope,intercept
NIH_internal_test,isotonic,label,Pneumonia,0.02243355605394469,0.0031599488158645904,0.0031599488158645904,0.9050854110805716,-0.20281719640151347
NIH_internal_test,isotonic,label,No Finding,0.23054110487363214,0.06237230071693577,0.6,0.47157555140649265,0.06980783690027258
NIH_internal_test,isotonic,macro,macro,0.07882134858762571,0.028376290634747177,0.18569119764353736,0.45485822280551597,-1.4237784941695084
NIH_internal_test,isotonic,micro,micro,0.07882134858762571,0.017052567512741024,0.5739854310904032,0.9092572831769481,-0.26168005412770856
VinDr_external,uncalibrated,label,Atelectasis,0.1369842278572541,0.1428191725127399,0.5489011466503144,0.7391720821229506,-1.2118843759569573
VinDr_external,uncalibrated,label,Cardiomegaly,0.21589145779072505,0.16179733176014274,0.31640746763774324,0.2987367722389021,-0.21074021663239204
VinDr_external,uncalibrated,label,Pleural Effusion,0.1966478032372894,0.19516989402286708,0.35437524626994954,0.9765521296188183,-1.1353760829663357
VinDr_external,uncalibrated,label,Pneumothorax,0.16310132006089942,0.27400180707196703,0.9227113723754883,0.4734161709457052,-2.4695655624306174
VinDr_external,uncalibrated,label,Consolidation,0.13479609369078102,0.07390883749711796,0.7646973729133606,0.666743785417697,-0.050104529267289165
VinDr_external,uncalibrated,label,Edema,0.010281213964801314,0.04082311245019805,0.9495688676834106,,
VinDr_external,uncalibrated,label,Pneumonia,0.0021163279019263026,0.03235941159061617,0.3097324669361114,,
VinDr_external,uncalibrated,label,No Finding,0.21072213840302767,0.177596334323287,0.3147428151634004,2.1925195492462763,-1.3239096614670611
VinDr_external,uncalibrated,macro,macro,0.13381757286333804,0.137309487653617,0.5601420944537223,0.8911900815983915,-1.0669300714534422
VinDr_external,uncalibrated,micro,micro,0.13381757286333804,0.10139464843914449,0.2836771809939042,0.6136924445760018,-0.8817967711828479
VinDr_external,temperature,label,Atelectasis,0.1410967264823192,0.16405752300743742,0.44724555695165563,0.8615026670874829,-1.2122988412752458
VinDr_external,temperature,label,Cardiomegaly,0.2098802972510719,0.1399970839547509,0.48569369519446215,0.3480255853346034,-0.2110891559291626
VinDr_external,temperature,label,Pleural Effusion,0.195878153449486,0.1974806804260071,0.3497795744587042,1.1382649433146748,-1.1354143151209606
VinDr_external,temperature,label,Pneumothorax,0.1649115329121361,0.28808967234003974,0.9078500479323639,0.551876786521448,-2.4691965321791822
VinDr_external,temperature,label,Consolidation,0.13125996746991223,0.054098489346659305,0.5846553254855351,0.7770654870171445,-0.05051678780664013
VinDr_external,temperature,label,Edema,0.0118209892972484,0.053167081559569444,0.9588701814743791,,
VinDr_external,temperature,label,Pneumonia,0.0039687315124456845,0.048467990448562676,0.33458643119664955,,
